id,capacity,product,cells,maxVolt,earlyCount,count,firstStartDate,retireDate,lastStartDate
"A/2025",5000,"HRC",12,4.2,20,236,"20190909000000","","20260402120554"
"B/2025",5000,"CHNC",12,4.35,20,77,"20190909000000","","20260401150256"
"C/2025",5000,"HULK",12,4.2,200,2,"20190909000000","2023-09-09",""
"D/2025",5200,"PtiO",12,4.2,20,50,"20200110000000","","20260401160814"
"A/2024",5600,"RASEP",12,4.2,30,24,"20190909000000","","20260204134849"
"A/2026",5600,"RASEP",12,4.2,20,34,"20190909000000","","20260204134849"
"B/2026",5600,"RASEP",12,4.2,10,44,"20190909000000","","20260204134849"
